OrderID;UserID;ClientID;OrderDate;OrderCompDate;StatusID;OrderCost;Discount;Surcharge
1;2;17;2025-12-09 00:00;2025-12-24 00:00;2;78500,30;0,00;0,00
2;2;19;2025-12-09 00:00;2025-12-13 00:00;1;15583,64;0,00;2032,65
3;2;10;2025-12-09 00:00;2025-12-14 00:00;4;123120,12;7980,01;17100,02
4;2;3;2025-12-09 00:00;2025-12-16 00:00;3;24550,00;0,00;0,00
5;2;19;2025-12-09 00:00;2026-01-14 00:00;1;44000,66;0,00;0,00
6;2;10;2025-12-09 00:00;2026-07-28 00:00;2;113925,89;8575,07;0,00
101;102;110;2025-08-29 00:00;2025-09-29 00:00;3;444975,39;21682,67;10229,43
102;132;138;2025-07-27 00:00;2025-09-13 00:00;1;200078,56;11128,36;6819,32
103;111;122;2025-10-17 00:00;2025-11-28 00:00;2;249675,62;18383,13;723,20
104;153;105;2025-09-15 00:00;2025-11-09 00:00;1;152030,31;15048,98;6027,34
105;114;151;2025-02-04 00:00;2025-02-21 00:00;4;27534,74;976,09;218,78
106;140;141;2025-11-09 00:00;2025-12-06 00:00;2;217337,71;4085,38;5773,51
107;114;106;2025-04-13 00:00;2025-06-06 00:00;4;428939,01;39094,43;15508,79
108;112;121;2025-04-30 00:00;2025-05-05 00:00;2;103398,06;4153,67;2772,11
109;136;120;2025-04-04 00:00;2025-04-17 00:00;3;440669,82;25352,27;774,42
110;153;113;2025-08-24 00:00;2025-09-12 00:00;1;279560,61;21456,81;10971,72
111;150;134;2025-11-06 00:00;2026-01-04 00:00;2;67772,90;6758,39;1530,95
112;130;105;2025-05-12 00:00;2025-06-10 00:00;1;383155,49;12720,07;8288,75
113;160;128;2025-03-12 00:00;2025-03-23 00:00;1;337249,49;23304,30;9050,55
114;113;103;2025-11-21 00:00;2025-12-24 00:00;4;188684,80;5448,77;8564,13
115;125;134;2025-02-21 00:00;2025-03-11 00:00;1;186283,92;17561,60;9304,99
116;118;107;2025-02-27 00:00;2025-04-16 00:00;4;357769,05;17528,19;3884,93
117;128;102;2025-10-15 00:00;2025-12-13 00:00;3;311638,18;23977,72;13406,12
118;159;135;2025-11-06 00:00;2026-01-04 00:00;4;371951,40;1800,03;15862,40
119;144;131;2025-07-14 00:00;2025-07-21 00:00;4;12741,88;631,08;346,12
120;131;126;2025-08-16 00:00;2025-10-05 00:00;2;343527,98;32458,51;99,00
121;122;124;2025-12-15 00:00;2026-01-28 00:00;3;440468,87;32023,99;8980,10
122;158;121;2025-08-28 00:00;2025-10-05 00:00;1;195196,52;13272,02;4681,29
123;114;118;2025-08-04 00:00;2025-08-15 00:00;4;400566,22;11799,49;14954,80
124;143;155;2025-09-02 00:00;2025-09-27 00:00;1;449743,33;11846,35;6278,63
125;150;134;2025-10-12 00:00;2025-10-31 00:00;2;50423,72;4124,81;1583,67
126;149;105;2025-10-23 00:00;2025-11-16 00:00;4;232632,34;1261,32;7505,63
127;116;128;2025-12-05 00:00;2026-01-11 00:00;3;60101,10;5485,69;2248,72
128;140;123;2025-03-26 00:00;2026-06-13 00:00;2;439077,76;37767,55;141,72
129;113;142;2025-04-21 00:00;2025-04-29 00:00;1;124962,64;2468,91;3079,72
130;122;136;2025-09-11 00:00;2025-10-02 00:00;1;435254,52;13889,10;11324,43
131;129;131;2025-02-05 00:00;2025-03-15 00:00;1;442238,67;25844,02;4283,71
132;107;151;2025-08-25 00:00;2025-10-03 00:00;4;161958,13;12424,00;4630,97
133;113;126;2025-03-25 00:00;2025-05-12 00:00;1;246158,78;18037,20;4473,56
134;132;102;2025-08-27 00:00;2025-10-04 00:00;2;259321,45;24134,47;9762,31
135;156;153;2025-02-25 00:00;2025-04-07 00:00;2;285955,66;7826,00;279,41
136;148;105;2025-03-28 00:00;2025-05-15 00:00;4;51408,66;1393,92;195,53
137;135;139;2025-11-19 00:00;2026-01-18 00:00;4;44321,14;2931,71;114,29
138;120;104;2025-12-07 00:00;2026-01-31 00:00;1;490290,90;32079,04;21195,85
139;121;108;2025-07-09 00:00;2025-08-13 00:00;1;313500,73;17038,49;10290,36
140;154;160;2025-09-22 00:00;2025-10-30 00:00;1;238395,52;15359,78;5316,66
141;125;123;2025-08-24 00:00;2025-10-07 00:00;4;255211,61;12962,13;2927,50
142;148;156;2025-08-22 00:00;2025-09-22 00:00;4;83501,73;4618,78;769,34
143;159;143;2025-01-01 00:00;2025-01-06 00:00;2;137467,21;6949,45;139,52
144;127;112;2025-11-17 00:00;2026-01-14 00:00;3;47541,35;4726,03;1136,00
145;134;149;2025-05-30 00:00;2025-06-28 00:00;3;171265,71;16887,51;6474,74
146;110;110;2025-08-21 00:00;2025-09-01 00:00;3;363577,23;12862,26;5559,55
147;131;102;2025-11-15 00:00;2025-12-02 00:00;2;114464,72;5693,38;1471,89
148;149;135;2025-04-01 00:00;2025-05-27 00:00;4;232934,83;13380,59;8082,93
149;159;107;2025-07-05 00:00;2025-09-01 00:00;2;346038,47;25047,60;15748,48
150;105;155;2025-03-27 00:00;2025-04-08 00:00;4;245953,65;12073,11;6224,35
151;123;150;2025-09-24 00:00;2025-10-20 00:00;3;85361,53;445,84;926,01
152;157;125;2025-02-06 00:00;2025-03-30 00:00;1;233398,02;807,16;431,59
153;120;142;2025-09-29 00:00;2025-10-19 00:00;2;154601,44;7525,46;4026,16
154;113;113;2025-08-24 00:00;2025-09-20 00:00;4;181111,03;1169,65;2542,11
155;133;156;2025-06-14 00:00;2025-07-02 00:00;3;349105,96;10587,72;4716,94
156;129;104;2025-12-12 00:00;2025-12-28 00:00;3;218529,96;12503,44;5845,47
157;115;115;2025-07-22 00:00;2025-08-31 00:00;3;461271,46;19606,44;947,02
158;113;151;2025-07-09 00:00;2025-08-28 00:00;3;180633,21;15085,46;1200,88
159;151;107;2025-08-22 00:00;2025-08-29 00:00;2;294026,51;6890,45;4636,95
